Week,Compulsive Use,On MOUD,Withdrawal,Fatal Overdose,Death,Cumulative_Overdose_Deaths,Alive,Scenario
0,300000,0,0,0,0,0,300000,Intervention
1,296739.80758098065,3000,172.7221830579513,37.32696120096712,50.14327476042118,37.32696120096712,299912.5297640386,Intervention
2,293522.95909623156,5789.464475809807,513.07103487844,36.92148269001816,137.5837590721544,74.24844389098527,299825.4946069198,Intervention
3,290349.0193445782,8381.313981354471,1008.5554317918111,36.521503859712894,224.5892905872346,110.76994775069817,299738.8887577245,Intervention
4,287217.5484060547,10787.698384989342,1647.4597193283278,36.12696256324421,311.1656433376205,146.89691031394239,299652.70651037234,Intervention
5,284128.1023567442,13020.042532598109,2418.797334399703,35.73779656372595,397.3185261838512,182.63470687766835,299566.942223742,Intervention
6,281080.233935117,15089.089209506117,3312.2671771046334,35.35394359340176,483.05358271641853,217.98865047107012,299481.5903217278,Intervention
7,278073.49316282256,17004.93956093443,4318.212569480438,34.97534140858208,568.3763912195363,252.9639918796522,299396.6452932374,Intervention
8,275107.427922716,18777.09112127616,5427.582648142656,34.60192784057278,653.2924646928062,287.565919720225,299312.1016921348,Intervention
9,272181.5844967352,20414.473593591087,6631.896046805465,34.23364084284336,737.8072509265601,321.7995605630683,299227.95413713175,Intervention
10,269295.5080660871,21925.48251235424,7923.206733191582,33.87041853466768,821.9261326269182,355.669979097736,299144.19731163286,Intervention
11,266448.74317605636,23318.010914628365,9294.071872852646,33.51219924145653,905.6544275868481,389.18217833919255,299060.8259635373,Intervention
12,263640.8341676108,24599.47913742922,10737.521599959624,33.158921531987836,988.9973888997415,422.3410998711804,298977.83490499965,Intervention
13,260871.32557784882,25776.862852089438,12247.030582215657,32.810524252728364,1071.96020521224,455.1516241239088,298895.2190121539,Intervention
14,258139.7625112119,26856.71943987508,13816.491273717178,32.466946559428926,1154.5480010132483,487.61857068333774,298812.9732248042,Intervention
15,255445.69098326997,27845.21280694488,15440.18875586804,32.128127946164376,1236.7658369562619,519.7466986295021,298731.0925460829,Intervention
16,252788.65823877958,28748.13673094231,17112.77707235898,31.79400827197907,1318.6187102123204,551.5407069014813,298649.57204208086,Intervention
17,250168.21304561375,29570.936826053843,18829.256969783102,31.464527785289388,1400.1115548510616,583.0052346867707,298568.4068414507,Intervention
18,247583.9059660658,30318.731208232537,20584.954960687694,31.139627146185234,1481.249242247516,614.1448618329559,298487.592134986,Intervention
19,245035.28960694023,30996.329937455474,22375.50363078311,30.81924744676423,1562.0365815124287,644.9641092797202,298407.12317517883,Intervention
20,242521.91884975907,31608.253309338466,24196.82311665908,30.50333022962426,1642.4783199440362,675.4674395093444,298326.9952757566,Intervention
21,240043.3510623317,32158.74906415522,26045.1036847144,30.191817504632347,1722.5791434993587,705.6592570139768,298247.2038112013,Intervention
22,237599.1462928628,32651.808577284613,27916.78934610433,29.884651764080782,1802.3436772831913,735.5439087780576,298167.7442162517,Intervention
23,235188.86744770117,33091.1820913242,29808.562446365908,29.58177599633481,1881.7764860530974,765.1256847743924,298088.61198539124,Intervention
24,232812.08045376645,33480.39304654626,31717.329172009137,29.283133698069797,1960.8820747388143,794.4088184724623,298009.80267232185,Intervention
25,230468.35440662922,33822.751563021615,33640.20591977566,28.988668885189842,2039.6648889745836,823.3974873576522,297931.3118894265,Intervention
26,228157.26170515973,34121.367124583216,35574.506477477844,28.698326102514475,2118.129315643022,852.0958134601666,297853.1353072208,Intervention
27,225878.37817360694,34379.16051183523,37517.729968353,28.41205043231449,2196.2796834292285,880.507863892481,297775.2686537952,Intervention
