Week,Compulsive Use,On MOUD,Withdrawal,Fatal Overdose,Death,Cumulative_Overdose_Deaths,Alive,Scenario
0,300000,0,0,0,0,0,300000,Status Quo
1,298935.12,802.7715000000001,174,37.60311,50.51424,37.60311,299911.89149999997,Status Quo
2,297876.5578817682,1555.0801412928001,392.29879605,37.46991786319647,138.6108879260085,75.07302786319647,299823.93681911106,Status Quo
3,296824.31336244004,2259.935842635168,651.8858712692444,37.33754534625228,226.55370456153446,112.41057320944876,299736.1350763444,Status Quo
4,295778.383628128,2920.170000133585,949.9317645149036,37.20599045699792,314.3435723020003,149.61656366644667,299648.48539277643,Status Quo
5,294738.7635012989,3538.4460688640875,1283.777321602981,37.07525100413161,401.98137139104415,186.69181467057828,299560.98689176596,Status Quo
6,293705.445598113,4117.269517331419,1650.923583713226,36.945324611183864,489.46797970756234,223.63713928176213,299473.6386991577,Status Quo
7,292678.4204763197,4658.99719193829,2049.0222752124114,36.81620872963964,576.8042725676951,260.4533480114018,299386.43994347035,Status Quo
8,291657.6767742714,5165.846126432486,2475.8668553686343,36.687900651268194,663.9911225408524,297.14124866266997,299299.38975607255,Status Quo
9,290643.2013415823,5639.90182922708,2929.384100534959,36.56039751970757,751.0293992789339,333.70164618237754,299212.48727134435,Status Quo
10,289634.97936192737,6083.126079539374,3407.626185361565,36.43369634134808,837.9199693579433,370.1353425237256,299125.7316268283,Status Quo
11,288632.99446844973,6497.364261460076,3908.763233459023,36.307793995556345,924.6636961312495,406.44313651928195,299039.12196336885,Status Quo
12,287637.22885221377,6884.352263338862,4431.0763096883165,36.18268724427919,1011.2614395937865,442.62582376356113,298952.65742524096,Status Quo
13,286647.66336411785,7245.722968249302,4972.950827902346,36.05837274106418,1097.7140562565298,478.68419650462533,298866.3371602695,Status Quo
14,285664.2776106546,7583.012359769234,5532.870349515019,35.93484703953144,1184.022399030625,514.6190435441567,298780.16031993885,Status Quo
15,284687.0500438842,7897.665265876228,6109.410749733449,35.8121066013294,1270.1873171205805,550.4311501454862,298694.12605949386,Status Quo
16,283715.9580459652,8191.040762406469,6701.234729661704,35.6901478036052,1356.2096559259737,586.1212979490914,298608.2335380334,Status Quo
17,282750.9780085643,8464.417256254215,7307.086653776126,35.568966946018556,1442.0902569511495,621.69026489511,298522.4819185947,Status Quo
18,281792.08540745196,8718.997267293078,7925.78769348721,35.44856025732624,1527.8299577224238,657.1388251524362,298436.87036823225,Status Quo
19,280839.25487256754,8955.911926875433,8556.231258646054,35.3289239015627,1613.4295917123318,692.4677490539989,298351.398058089,Status Quo
20,279892.46025382454,9176.225209707916,9197.37869992863,35.21005398384099,1698.8899882704904,727.6778030378399,298266.0641634611,Status Quo
21,278951.6746829089,9380.937914905398,9848.255266042652,35.09194655579634,1784.2119725606658,762.7697495936362,298180.86786385695,Status Quo
22,278016.8706313085,9570.991411089231,10507.94630065339,34.97459762069392,1869.3963655036666,797.7443472143301,298095.8083430512,Status Quo
23,277088.01996479754,9747.271159514507,11175.593664819931,34.858003138220596,1954.443983725701,832.6023503525507,298010.884789132,Status Quo
24,276165.0939945877,9910.61002838221,11850.39237157556,34.74215902897955,2039.3556395118615,867.3445093815303,297926.0963945455,Status Quo
25,275248.0635253433,10061.791410712414,12531.587420078065,34.6270611787056,2124.132140764418,901.9715705602359,297841.4423561338,Status Quo
26,274336.89890024724,10201.552157421153,13218.47081750108,34.512705442217516,2208.7742909656217,936.4842760024535,297756.92187516944,Status Quo
27,273431.57004329393,10330.58533655358,13910.37877753866,34.399087647123494,2293.282889144735,970.883363649577,297672.53415738617,Status Quo
28,272532.04649897316,10449.542828976884,14606.689085054784,34.28620359729401,2377.65872984903,1005.169567246871,297588.2784130048,Status Quo
29,271638.2974695014,10559.037770225705,15306.818617029934,34.17404907611636,2461.902603118499,1039.3436163229874,297504.15385675704,Status Quo
30,270750.29184974544,10659.64684761842,16010.221010540608,34.062619849543566,2546.0152944640486,1073.406236172531,297420.15970790444,Status Quo
31,269867.99825997674,10751.912461222148,16716.384469056633,33.951911668950125,2629.9975848489544,1107.358147841481,297336.2951902555,Status Quo
32,268991.38507658517,10836.34475673597,17424.829698857742,33.841920273806124,2713.850250673372,1141.2000681152872,297252.55953217886,Status Quo
33,268120.420460874,10913.423537883611,18135.107967856755,33.732641394180426,2797.5740637617087,1174.9327095094677,297168.95196661435,Status Quo
34,267255.0723860507,10983.600065456843,18846.799279573832,33.62407075308334,2881.169791352672,1208.556780262551,297085.4717310814,Status Quo
35,266395.3086625208,11047.298749727714,19559.510655436345,33.5162040686582,2964.6381960918256,1242.0729843312092,297002.1180676848,Status Quo
36,265541.09696158604,11104.918742549446,20272.87451898334,33.40903705623101,3047.9800360264894,1275.4820213874402,296918.8902231188,Status Quo
37,264692.40483764233,11156.83543509134,20986.547175934273,33.3025654302266,3131.196064602831,1308.7845868176669,296835.7874486679,Status Quo
38,263849.19974896713,11203.401866800621,21700.20738443959,33.19678490595925,3214.287030665009,1341.9813717236261,296752.80900020734,Status Quo
39,263011.44907718,11244.950050852696,22413.555010167547,33.091691201305366,3297.253678456229,1375.0730629249315,296669.9541382002,Status Quo
40,262179.1201454562,11281.792221039434,23126.309761198558,32.987280038265325,3380.0967476215924,1408.0603429631967,296587.22212769417,Status Quo
41,261352.1802355675,11314.222004751746,23838.209997996295,32.88354714442094,3462.8169732126116,1440.9438901076176,296504.6122383155,Status Quo
42,260530.59660382016,11342.51552643677,24549.011614005267,32.78048825429504,3545.415085693288,1473.7243783619126,296422.1237442622,Status Quo
43,259714.336495957,11366.932445650318,25258.486982688257,32.678099110618895,3627.891810947641,1506.4024774725315,296339.7559242956,Status Quo
44,258903.36716108443,11387.716933581076,25966.42396706525,32.576375465513145,3710.2478702885946,1538.9788529380446,296257.5080617307,Status Quo
45,258097.6558646837,11405.098591693244,26672.62498804883,32.47531308158728,3792.4839804681274,1571.4541660196319,296175.37944442575,Status Quo
46,257297.16990076052,11419.293315918194,27376.906148090613,32.37490773296272,3874.6008536885956,1603.8290737525947,296093.3693647693,Status Quo
47,256501.87660318564,11430.504109622401,28079.096406859946,32.275155206224056,3956.5991976151527,1636.1042289588188,296011.477119668,Status Quo
48,255711.74335627415,11438.921848387612,28779.03680587034,32.176051301302735,4038.4797153891864,1668.2802802601216,295929.70201053214,Status Quo
49,254926.73760464965,11444.725999459295,29476.579739151966,32.07759183229734,4120.2431056426985,1700.3578720924188,295848.04334326094,Status Quo
50,254146.8268624361,11448.085298550135,30171.588267240557,31.979772628234294,4201.890062513564,1732.337644720653,295766.5004282268,Status Quo
51,253371.9787218179,11449.158386526095,30863.93547191474,31.882589533772475,4283.421275661602,1764.2202342544256,295685.07258025877,Status Quo
52,252602.1608610061,11448.094408352774,31553.503849266188,31.786038409855358,4364.837430285401,1796.006272664281,295603.7591186251,Status Quo
53,251837.34105164686,11445.033576538852,32240.184738829965,31.690115134313633,4446.139207139842,1827.6963877985945,295522.55936701567,Status Quo
54,251077.48716570524,11440.107701180848,32923.877786637335,31.594815602421516,4527.327282554263,1859.291203401016,295441.47265352344,Status Quo
55,250322.5671818566,11433.440688588717,33604.49044017981,31.500135727409372,4608.4023284512195,1890.7913391284253,295360.49831062515,Status Quo
56,249572.54919141487,11425.14901035446,34281.937473392594,31.40607144093553,4689.365012365797,1922.1974105693607,295279.6356751619,Status Quo
57,248827.40140382602,11415.342144615577,34956.14053987757,31.312618693519546,4770.2159974654205,1953.5100292628804,295198.88408831914,Status Quo
58,248087.0921517531,11404.12299116136,35627.02775269162,31.219773454939446,4850.955942570132,1984.72980271782,295118.2428956061,Status Quo
59,247351.58989577735,11391.588261932326,36294.53328912509,31.12753171459513,4931.5855021732905,2015.857334432415,295037.7114468348,Status Quo
60,246620.8632287388,11377.828848371266,36958.597018988825,31.035889481839913,5012.105326462662,2046.8932239142548,294957.28909609886,Status Quo
61,245894.88087973854,11362.930166997847,37619.16415501579,30.94484278628225,5092.51606134186,2077.838066700537,294876.9752017522,Status Quo
62,245173.6117178229,11346.9724844975,38276.18492406604,30.854387678059492,5172.818348452114,2108.6924543785967,294796.76912638644,Status Quo
63,244457.02475536917,11330.031223538754,38929.614257901536,30.764520228085306,5253.012825194325,2139.4569746066823,294716.67023680947,Status Quo
64,243745.089151191,11312.177250461218,39579.41150237032,30.675236528272514,5333.100124751389,2170.1322111349546,294636.6779040225,Status Quo
65,243037.7742133807,11293.47714590878,40225.54014390838,30.586532691732764,5413.080876110751,2200.7187438266874,294556.79150319786,Status Quo
66,242335.04940190449,11273.993459418813,40867.96755233234,30.49840485295454,5492.955704087186,2231.217148679642,294477.01041365566,Status Quo
67,241636.884330966,11253.784948918335,41506.66473895682,30.410849167960855,5572.725229345756,2261.6279978476027,294397.33401884115,Status Quo
68,240943.24877115208,11232.906806021703,42141.60612912767,30.323861814447845,5652.390068424941,2291.9518596620505,294317.7617063015,Status Quo
69,240254.11265137471,11211.410867971359,42772.76934831617,30.237438991905556,5731.950833759919,2322.189298653956,294238.29286766227,Status Quo
70,239569.44606062118,11189.345817013313,43400.135020969814,30.15157692172195,5811.408133705973,2352.340875575678,294158.9268986043,Status Quo
71,238889.21924952473,11166.75736795212,44023.68658136323,30.066271847271263,5890.762572562007,2382.4071474229495,294079.6631988401,Status Quo
72,238213.40263176663,11143.688444585938,44643.410095737345,29.981520033987636,5970.014750594159,2412.388667456937,294000.50117208995,Status Quo
73,237541.9667853205,11120.17934568077,45259.29409505727,29.897317769425047,6049.16526405949,2442.2859852263623,293921.44022605853,Status Quo
74,236874.88245354829,11096.267901103902,45871.32941775907,29.81366136330433,6128.2147052297405,2472.0996465896665,293842.4797724113,Status Quo
75,236212.12054615762,11071.98961869981,46479.50906189285,29.73054714754817,6207.16366241513,2501.830193737215,293763.6192267503,Status Quo
76,235553.6521400289,11047.377822457249,47083.82804610462,29.64797147630482,6286.012719988197,2531.47816521352,293684.85800859076,Status Quo
77,234899.44847992065,11022.463782483686,47684.283278932795,29.56593072596128,6364.762458407669,2561.044095939481,293606.19554133713,Status Quo
78,234249.4809790607,10997.276837272702,48280.87343592579,29.48442129514664,6443.413454242336,2590.5285172346275,293527.6312522592,Status Quo
79,233603.72121963033,10971.844508721128,48873.598844116816,29.403439604726184,6521.966280194933,2619.931956839354,293449.16457246826,Status Quo
80,232962.1409531486,10946.192610325681,49462.46137341926,29.322982097786944,6600.421505126014,2649.2549389371407,293370.7949368935,Status Quo
81,232324.71210076276,10920.345348963368,50047.46433453196,29.243045239615167,6678.779694077816,2678.497984176756,293292.5217842581,Status Quo
82,231691.4067534512,10894.325420635923,50628.61238296808,29.163625517666357,6757.041408298085,2707.661609694422,293214.3445570552,Status Quo
83,231062.19717214452,10868.154100536096,51205.91142884418,29.08471944152826,6835.207205263883,2736.7463291359504,293136.26270152477,Status Quo
84,230437.05578776967,10841.851327772307,51779.36855208748,29.0063235428774,6913.277638705348,2765.752652678828,293058.27566762944,Status Quo
85,229815.95520122288,10815.43578506831,52348.99192273985,28.928434375429504,6991.253258629407,2794.681087054257,292980.38290903106,Status Quo
86,229198.86818327554,10788.924973735695,52914.790726055864,28.851048514884287,7069.134611343438,2823.5321355691417,292902.5838830671,Status Quo
87,228585.7676744174,10762.335284199431,53476.77509211034,28.774162558864997,7146.92223947887,2852.306298128007,292824.8780507272,Status Quo
88,227976.626784642,10735.682062340034,54034.95602964761,28.69777312685306,7224.616682014721,2881.00407125486,292747.26487662963,Status Quo
89,227371.41879317726,10708.97967190033,54589.34536392063,28.621876860118174,7302.21847430106,2909.625948114978,292669.74382899824,Status Quo
90,226770.11714816547,10682.241553190071,55139.95567828302,28.54647042164423,7379.7281480824,2938.1724185366224,292592.3143796386,Status Quo
91,226172.69546629628,10655.480278307867,55686.80025931112,28.471550496051254,7457.1462315210065,2966.643969032674,292514.97600391525,Status Quo
92,225579.12753239545,10628.707603086832,56229.89304524638,28.397113789513842,7534.473249220125,2995.0410828221875,292437.7281807287,Status Quo
93,224989.38729897275,10601.934515958203,56769.248577560786,28.32315702967614,7611.709722247118,3023.3642398518637,292360.57039249176,Status Quo
94,224403.44888573198,10575.17128391556,57304.881955459845,28.249676965563758,7688.856168156515,3051.6139168174273,292283.5021251074,Status Quo
95,223821.28657904518,10548.427495751563,57836.80879314855,28.176670367492925,7765.913101012961,3079.7905871849202,292206.52286794526,Status Quo
96,223242.87483139458,10521.712102728843,58365.04517969604,28.10413402697682,7842.881031414074,3107.894721211897,292129.6321138195,Status Quo
97,222668.1882607837,10495.033456837175,58889.60764134459,28.032064756629712,7919.760466513194,3135.9267859685265,292052.82935896545,Status Quo
98,222097.2016501204,10468.399346779986,59410.513106117534,27.960459390068685,7996.551910042042,3163.887245358595,291976.1141030179,Status Quo
99,221529.8899465737,10441.817031824814,59927.77887058947,27.889314781813443,8073.255862333259,3191.7765601404085,291899.485848988,Status Quo
100,220966.2282609068,10415.293273644333,60441.422568690126,27.818627807184193,8149.872820342843,3219.595187947593,291822.94410324126,Status Quo
101,220406.19186678738,10388.834366267061,60951.46214242094,27.748395362197872,8226.40327767248,3247.3435833097906,291746.4883754754,Status Quo
102,219849.7562000777,10362.446164249817,61457.91581437052,27.67861436346281,8302.847724591758,3275.0221976732532,291670.11817869806,Status Quo
103,219296.8968581056,10336.134109177332,61960.802061922,27.60928174807197,8379.206648060273,3302.6314794213254,291593.8330292049,Status Quo
104,218747.58959891833,10309.903254588182,62460.13959305147,27.540394473494967,8455.480531749614,3330.1718738948202,291517.632446558,Status Quo
105,218201.81034052026,10283.758289420344,62955.94732362294,27.4719495174689,8531.669856065231,3357.6438234122893,291441.5159535635,Status Quo
106,217659.5351600961,10257.703560064127,63448.244356090494,27.403943877888214,8607.775098168204,3385.0477672901775,291365.48307625076,Status Quo
107,217120.7402932209,10231.743091105029,63937.04995952402,27.33637457269361,8683.796731996863,3412.3841418628713,291289.53334384994,Status Quo
108,216585.40213305788,10205.880604834212,64422.38355087948,27.269238639760164,8759.735228288317,3439.6533805026315,291213.66628877155,Status Quo
109,216053.49722954532,10180.11953959963,64904.26467743969,27.202533136784755,8835.591054599847,3466.8559136394165,291137.88144658465,Status Quo
110,215525.0022885733,10154.463067066554,65382.71300035573,27.136255141172885,8911.364675330182,3493.9921687805895,291062.1783559956,Status Quo
111,214999.89417115191,10128.91410845216,65857.74827922335,27.070401749924915,8987.056551740654,3521.062570530514,290986.5565588274,Status Quo
112,214478.14989257097,10103.475349794988,66329.39035763267,27.004970079521932,9062.667141976232,3548.0675406100363,290911.01559999865,Status Quo
113,213959.74662155294,10078.149256316507,66797.65914963305,26.939957265811152,9138.196901086429,3575.0074978758475,290835.5550275025,Status Quo
114,213444.66167939937,10052.938085928614,67262.57462705851,26.87536046389113,9213.64628104609,3601.8828583397385,290760.1743923865,Status Quo
115,212932.87253913164,10027.843901937698,67724.15680766225,26.811176847996663,9289.01573077606,3628.694035187735,290684.8732487316,Status Quo
116,212424.35682462706,10002.868584992917,68182.42574401204,26.74740361138351,9364.305696163716,3655.4414387991187,290609.65115363203,Status Quo
117,211919.09230975056,9978.013844323488,68637.40151310079,26.684037966213065,9439.516620083388,3682.1254767653318,290534.50766717485,Status Quo
118,211417.0569174829,9953.281228307173,69089.10420662975,26.621077143436878,9514.648942416652,3708.746553908769,290459.44235241984,Status Quo
119,210918.228719046,9928.672134409577,69537.55392192394,26.55851839268125,9589.703100072498,3735.3050723014503,290384.4547753795,Status Quo
120,210422.58593302555,9904.187818531622,69982.77075344196,26.496358982131838,9664.679527007373,3761.801431283582,290309.5445049991,Status Quo
121,209930.106924492,9879.829403800242,70424.77478484467,26.434596198418287,9739.5786542451,3788.2360274820003,290234.7111131369,Status Quo
122,209440.7702041199,9855.597888835347,70863.58608158915,26.37322734649907,9814.400909896682,3814.609254828499,290159.95417454443,Status Quo
123,208954.5544273063,9831.494155524111,71299.22468401643,26.31224974954645,9889.146719179964,3840.9215045780456,290085.2732668469,Status Quo
124,208471.43839328867,9807.51897633179,71731.71060090339,26.2516607488316,9963.816504439194,3867.173165326877,290010.6679705238,Status Quo
125,207991.40104426251,9783.673021176573,72161.06380345095,26.191457703610023,10038.410685164441,3893.364623030487,289936.13786889,Status Quo
126,207514.42146449932,9759.956863894313,72587.3042196823,26.1316379910072,10112.929678010903,3919.4962610214943,289861.6825480759,Status Quo
127,207040.47887946482,9736.370988317465,73010.45172922648,26.07219900590452,10187.373896818086,3945.568460027399,289787.3015970088,Status Quo
128,206569.5526549384,9712.915793991124,73430.52615846418,26.013138160825548,10261.74375262886,3971.5815981882247,289712.9946073937,Status Quo
129,206101.62229613343,9689.59160154767,73847.54727601387,25.954452885822604,10336.039653708396,3997.5360510740475,289638.761173695,Status Quo
130,205636.66744681905,9666.398657760292,74261.53478853767,25.896140628363764,10410.262005562983,4023.4321917024113,289564.600893117,Status Quo
131,205174.6678884439,9643.33714029442,74672.50833684788,25.838198853220177,10484.411210958719,4049.2703905556314,289490.5133655862,Status Quo
132,204715.6035392614,9620.407162175015,75080.48749229574,25.780625042353854,10558.487669940081,4075.051015597985,289416.4981937322,Status Quo
133,204259.4544534576,9597.608775986548,75485.49175342543,25.723416694805834,10632.491779848378,4100.774432292791,289342.5549828696,Status Quo
134,203806.200820281,9574.941977821534,75887.54054287735,25.666571326584837,10706.423935340084,4126.441003619376,289268.68334097986,Status Quo
135,203355.82296317528,9552.40671099256,76286.65320452537,25.610086470556336,10780.284528405047,4152.051090089933,289194.8828786932,Status Quo
136,202908.30133891458,9530.002869521813,76682.84900083399,25.553959676332138,10854.073948384583,4177.6050497662645,289121.1532092704,Status Quo
137,202463.61653674187,9507.73030142134,77076.14711042197,25.498188510160404,10927.792581989452,4203.103238276425,289047.4939485852,Status Quo
138,202021.74927751021,9485.588811776428,77466.56662581985,25.442770554816253,11001.44081331771,4228.546008831241,288973.9047151065,Status Quo
139,201582.68041282726,9463.57816564383,77854.12655140954,25.387703409492776,11075.019023872452,4253.933712240734,288900.3851298806,Status Quo
140,201146.39092420336,9441.698090775782,78238.8458015349,25.33298468969263,11148.527592579432,4279.266696930426,288826.934816514,Status Quo
141,200712.86192220275,9419.948280180191,78620.7431987727,25.278612027120186,11221.96689580457,4304.545308957547,288753.55340115563,Status Quo
142,200282.07464559874,9398.3283945267,78999.83747235435,25.22458306957413,11295.337307371336,4329.7698920271205,288680.2405124798,Status Quo
143,199854.0104605323,9376.838064407779,79376.1472567289,25.17089548084072,11368.63919857803,4354.940787507961,288606.995781669,Status Quo
144,199428.65085967458,9355.476892463466,79749.6910902588,25.117546940587513,11441.872938214943,4380.0583344485485,288533.81884239684,Status Quo
145,199005.97746139334,9334.244455377844,80120.48741404008,25.06453514425769,11515.038892581399,4405.122869592807,288460.7093308113,Status Quo
146,198585.97200892319,9313.140305754867,80488.55457083938,25.011857802964943,11588.137425502684,4430.134727395772,288387.6668855174,Status Quo
147,198168.61636954005,9292.163973880717,80853.91080414048,24.95951264338894,11661.168898346876,4455.0942400391605,288314.69114756124,Status Quo
148,197753.89253373962,9271.314969379417,81216.57425729364,24.907497407671347,11734.133670041541,4480.001737446832,288241.7817604127,Status Quo
149,197341.78261442005,9250.592782768057,81576.56297276114,24.855809853312472,11807.03209709034,4504.857547300144,288168.93836994923,Status Quo
150,196932.26884606894,9229.996886917585,81933.89489145328,24.80444775306844,11879.864533589498,4529.661995053212,288096.1606244398,Status Quo
151,196525.33358395429,9209.526738424778,82288.58785214898,24.753408894848995,11952.631331244196,4554.415403948061,288023.4481745281,Status Quo
152,196120.95930332018,9189.18177890069,82640.6595909956,24.702691081615882,12025.332839384822,4579.118095029677,287950.80067321646,Status Quo
153,195719.12859858663,9168.961436180505,82990.12774108324,24.652292131281815,12097.969404983136,4603.770387160958,287878.2177758504,Status Quo
154,195319.8241825538,9148.865125459517,83337.00983208854,24.60220987661006,12170.54137266831,4628.372597037568,287805.69914010185,Status Quo
155,194923.02888561072,9128.892250359579,83681.32328998367,24.552442165114588,12243.049084742868,4652.9250392026825,287733.24442595395,Status Quo
156,194528.72565494842,9109.042203930201,84023.08543680637,24.502986858960824,12315.492881198528,4677.428026061643,287660.853295685,Status Quo
157,194136.89755377767,9089.31436958816,84362.31349048705,24.453841834867042,12387.873099731914,4701.881867896511,287588.5254138529,Status Quo
158,193747.52776055108,9069.708121999285,84699.02456472933,24.405004984006293,12460.190075760183,4726.286872880517,287516.26044727967,Status Quo
